1	ⅈ	Ll	DOUBLE-STRUCK ITALIC SMALL I	i	LATIN SMALL LETTER I
1	ⅉ	Ll	DOUBLE-STRUCK ITALIC SMALL J	j	LATIN SMALL LETTER J
1	ℊ	Ll	SCRIPT SMALL G	g	LATIN SMALL LETTER G
1	ℋ	Lu	SCRIPT CAPITAL H	H	LATIN CAPITAL LETTER H
1	ℐ	Lu	SCRIPT CAPITAL I	I	LATIN CAPITAL LETTER I
1	ℒ	Lu	SCRIPT CAPITAL L	L	LATIN CAPITAL LETTER L
1	ℓ	Ll	SCRIPT SMALL L	l	LATIN SMALL LETTER L
1	ℛ	Lu	SCRIPT CAPITAL R	R	LATIN CAPITAL LETTER R
1	ℬ	Lu	SCRIPT CAPITAL B	B	LATIN CAPITAL LETTER B
1	ℯ	Ll	SCRIPT SMALL E	e	LATIN SMALL LETTER E
1	ℰ	Lu	SCRIPT CAPITAL E	E	LATIN CAPITAL LETTER E
1	ℱ	Lu	SCRIPT CAPITAL F	F	LATIN CAPITAL LETTER F
1	ℳ	Lu	SCRIPT CAPITAL M	M	LATIN CAPITAL LETTER M
1	ℴ	Ll	SCRIPT SMALL O	o	LATIN SMALL LETTER O
1	ℌ	Lu	BLACK-LETTER CAPITAL H	H	LATIN CAPITAL LETTER H
1	ℑ	Lu	BLACK-LETTER CAPITAL I	I	LATIN CAPITAL LETTER I
1	ℜ	Lu	BLACK-LETTER CAPITAL R	R	LATIN CAPITAL LETTER R
1	ℨ	Lu	BLACK-LETTER CAPITAL Z	Z	LATIN CAPITAL LETTER Z
1	ℭ	Lu	BLACK-LETTER CAPITAL C	C	LATIN CAPITAL LETTER C

1	ℵ	Lo	ALEF SYMBOL	א	HEBREW LETTER ALEF
1	ℶ	Lo	BET SYMBOL	ב	HEBREW LETTER BET
1	ℷ	Lo	GIMEL SYMBOL	ג	HEBREW LETTER GIMEL
1	ℸ	Lo	DALET SYMBOL	ד	HEBREW LETTER DALET
